Lon,Lat,NASC,,,,,,,,,,,
148.1,35.04,5703.757971,,,,,,,,,,,
148.1,35.29,3119.031432,,,,,,,,,,,
148.1,35.54,1904.714741,,,,,,,,,,,
148.1,35.79,2560.333262,,,,,,,,,,,
148.1,36.04,2599.146995,,,,,,,,,,,
148.1,36.29,2320.261468,,,,,,,,,,,
148.1,36.54,2276.426571,,,,,,,,,,,
148.1,36.79,2943.266757,,,,,,,,,,,
148.1,37.04,4373.9636,,,,,,,,,,,
148.1,37.29,7986.309963,,,,,,,,,,,
148.1,37.54,8351.1574,,,,,,,,,,,
148.1,37.79,4733.355347,,,,,,,,,,,
148.1,38.04,4404.052874,,,,,,,,,,,
148.1,38.29,3613.4954,,,,,,,,,,,
148.35,38.29,4091.512958,,,,,,,,,,,
148.6,38.29,3934.135176,,,,,,,,,,,
148.85,34.79,9635.508799,,,,,,,,,,,
148.85,38.29,5176.131254,,,,,,,,,,,
149.1,34.79,9452.564625,,,,,,,,,,,
149.1,38.29,5420.701326,,,,,,,,,,,
149.1,38.54,5101.816087,,,,,,,,,,,
149.35,34.79,12046.0228,,,,,,,,,,,
149.35,38.54,5999.441102,,,,,,,,,,,
149.6,34.79,10983.3916,,,,,,,,,,,
149.6,35.04,7263.970777,,,,,,,,,,,
149.6,38.54,3212.546269,,,,,,,,,,,
149.6,38.79,2762.250938,,,,,,,,,,,
149.85,35.04,8309.054846,,,,,,,,,,,
149.85,38.79,1531.549093,,,,,,,,,,,
149.85,39.04,807.5493126,,,,,,,,,,,
150.1,35.04,7562.517588,,,,,,,,,,,
150.1,35.29,8655.08377,,,,,,,,,,,
150.1,35.54,9011.6347,,,,,,,,,,,
150.1,35.79,12423.76864,,,,,,,,,,,
150.1,36.04,12851.51222,,,,,,,,,,,
150.1,37.04,8585.324205,,,,,,,,,,,
150.1,37.29,7971.134503,,,,,,,,,,,
150.1,37.54,6382.650813,,,,,,,,,,,
150.1,37.79,9155.309877,,,,,,,,,,,
150.1,38.04,4851.275925,,,,,,,,,,,
150.1,38.54,1951.745988,,,,,,,,,,,
150.1,38.79,1623.233036,,,,,,,,,,,
150.1,39.04,1135.201767,,,,,,,,,,,
150.35,35.79,9446.15673,,,,,,,,,,,
150.35,37.04,8529.60593,,,,,,,,,,,
150.35,38.04,3018.588535,,,,,,,,,,,
150.35,38.29,2895.093475,,,,,,,,,,,
150.35,38.54,3342.810821,,,,,,,,,,,
150.6,35.54,10967.48753,,,,,,,,,,,
150.6,35.79,11177.44942,,,,,,,,,,,
150.6,37.04,6817.5941,,,,,,,,,,,
150.85,35.54,9729.345795,,,,,,,,,,,
150.85,37.04,9533.029582,,,,,,,,,,,
151.1,35.29,11010.56,,,,,,,,,,,
151.1,35.54,10588.40124,,,,,,,,,,,
151.1,37.04,9293.38512,,,,,,,,,,,
151.35,35.29,7630.795523,,,,,,,,,,,
151.35,37.04,6594.690694,,,,,,,,,,,
151.6,35.04,12466.59708,,,,,,,,,,,
151.6,35.29,10340.53823,,,,,,,,,,,
151.6,36.79,6754.943048,,,,,,,,,,,
151.6,37.04,3242.088851,,,,,,,,,,,
151.85,35.04,12456.05612,,,,,,,,,,,
151.85,36.79,4564.436994,,,,,,,,,,,
151.85,37.04,6266.020602,,,,,,,,,,,
152.1,35.04,12477.42755,,,,,,,,,,,
152.1,35.29,12102.28884,,,,,,,,,,,
152.1,35.54,9147.769379,,,,,,,,,,,
152.1,35.79,9640.756331,,,,,,,,,,,
152.1,36.04,7807.050551,,,,,,,,,,,
152.1,37.04,5504.789582,,,,,,,,,,,
152.1,37.29,3747.53515,,,,,,,,,,,
152.1,37.54,3476.81233,,,,,,,,,,,
152.1,37.79,2654.419261,,,,,,,,,,,
152.1,38.04,2068.458821,,,,,,,,,,,
152.1,38.29,2258.590696,,,,,,,,,,,
152.1,38.54,2242.792968,,,,,,,,,,,
152.1,38.79,2305.729426,,,,,,,,,,,
152.1,39.04,1460.701241,,,,,,,,,,,
152.1,39.29,1554.115564,,,,,,,,,,,
152.1,39.54,2208.374643,,,,,,,,,,,
152.1,39.79,4508.702194,,,,,,,,,,,
152.1,40.04,3332.943692,,,,,,,,,,,
152.1,41.04,694.8186023,,,,,,,,,,,
152.35,36.04,8695.504355,,,,,,,,,,,
152.35,36.29,7301.758178,,,,,,,,,,,
152.35,40.04,3127.924029,,,,,,,,,,,
152.35,40.29,3876.540551,,,,,,,,,,,
152.35,40.79,3226.287314,,,,,,,,,,,
152.35,41.04,909.2222586,,,,,,,,,,,
152.35,41.29,564.8077344,,,,,,,,,,,
152.6,36.29,5595.257355,,,,,,,,,,,
152.6,40.29,4847.499608,,,,,,,,,,,
152.6,40.54,2331.834334,,,,,,,,,,,
152.6,40.79,3260.304674,,,,,,,,,,,
152.6,41.29,1029.467486,,,,,,,,,,,
152.85,36.29,2575.639207,,,,,,,,,,,
152.85,36.54,2481.004793,,,,,,,,,,,
152.85,40.29,5389.52053,,,,,,,,,,,
152.85,40.54,3614.463248,,,,,,,,,,,
152.85,41.29,1874.947932,,,,,,,,,,,
152.85,41.54,2435.287385,,,,,,,,,,,
153.1,36.54,2558.903302,,,,,,,,,,,
153.1,40.29,4900.050559,,,,,,,,,,,
153.1,40.54,4491.041883,,,,,,,,,,,
153.1,41.54,2399.330938,,,,,,,,,,,
153.35,36.54,2348.087071,,,,,,,,,,,
153.35,36.79,2433.339588,,,,,,,,,,,
153.35,40.29,4562.398604,,,,,,,,,,,
153.35,40.54,3726.191467,,,,,,,,,,,
153.35,40.79,2174.046588,,,,,,,,,,,
153.35,41.54,3872.428103,,,,,,,,,,,
153.35,41.79,1463.458913,,,,,,,,,,,
153.6,36.79,3402.444381,,,,,,,,,,,
153.6,40.04,3365.896438,,,,,,,,,,,
153.6,40.29,3302.954465,,,,,,,,,,,
153.6,40.79,1576.432198,,,,,,,,,,,
153.6,41.79,858.1412004,,,,,,,,,,,
153.85,36.79,3472.610834,,,,,,,,,,,
153.85,37.04,7717.7517,,,,,,,,,,,
153.85,40.04,3583.027518,,,,,,,,,,,
153.85,40.79,2812.868158,,,,,,,,,,,
153.85,41.04,3131.726329,,,,,,,,,,,
153.85,41.79,2119.986346,,,,,,,,,,,
153.85,42.04,4652.760235,,,,,,,,,,,
154.1,35.04,10184.0853,,,,,,,,,,,
154.1,35.79,10367.20563,,,,,,,,,,,
154.1,36.04,8236.689237,,,,,,,,,,,
154.1,36.29,5401.046881,,,,,,,,,,,
154.1,36.54,4413.884815,,,,,,,,,,,
154.1,36.79,3828.76328,,,,,,,,,,,
154.1,37.04,8255.176894,,,,,,,,,,,
154.1,37.29,4160.338446,,,,,,,,,,,
154.1,37.54,3252.58036,,,,,,,,,,,
154.1,37.79,2682.267024,,,,,,,,,,,
154.1,38.04,2902.313461,,,,,,,,,,,
154.1,38.29,3101.430647,,,,,,,,,,,
154.1,38.54,2558.819812,,,,,,,,,,,
154.1,38.79,3295.464966,,,,,,,,,,,
154.1,39.04,5509.423452,,,,,,,,,,,
154.1,39.29,4978.999168,,,,,,,,,,,
154.1,39.54,2642.10852,,,,,,,,,,,
154.1,39.79,2466.190721,,,,,,,,,,,
154.1,40.04,5054.764085,,,,,,,,,,,
154.1,41.04,2702.089944,,,,,,,,,,,
154.1,41.29,2615.936814,,,,,,,,,,,
154.1,41.54,3359.255849,,,,,,,,,,,
154.1,41.79,4090.90049,,,,,,,,,,,
154.1,42.04,5023.011664,,,,,,,,,,,
154.35,35.04,9440.04291,,,,,,,,,,,
154.35,35.79,8722.485384,,,,,,,,,,,
154.35,37.29,10965.22463,,,,,,,,,,,
154.6,35.04,8696.21727,,,,,,,,,,,
154.6,35.54,7483.045979,,,,,,,,,,,
154.6,35.79,9366.651504,,,,,,,,,,,
154.6,37.29,9183.797693,,,,,,,,,,,
154.85,34.79,10910.99565,,,,,,,,,,,
154.85,35.04,12219.84015,,,,,,,,,,,
154.85,35.29,14487.45115,,,,,,,,,,,
154.85,35.54,12152.85032,,,,,,,,,,,
154.85,37.29,9085.814218,,,,,,,,,,,
154.85,37.54,7761.8783,,,,,,,,,,,
155.1,34.79,14566.47035,,,,,,,,,,,
155.1,35.29,14736.06272,,,,,,,,,,,
155.1,35.54,17634.17052,,,,,,,,,,,
155.1,37.54,6248.192042,,,,,,,,,,,
155.35,34.79,15500.63421,,,,,,,,,,,
155.35,35.29,13534.65726,,,,,,,,,,,
155.35,37.54,3094.765112,,,,,,,,,,,
155.35,37.79,3265.087157,,,,,,,,,,,
155.6,34.79,14709.35061,,,,,,,,,,,
155.6,35.04,21598.53152,,,,,,,,,,,
155.6,35.29,17794.58095,,,,,,,,,,,
155.6,37.79,2413.774587,,,,,,,,,,,
155.85,34.79,20404.33944,,,,,,,,,,,
155.85,35.04,19553.05643,,,,,,,,,,,
155.85,35.29,18356.98311,,,,,,,,,,,
155.85,37.79,3150.810933,,,,,,,,,,,
155.85,38.04,3821.31587,,,,,,,,,,,
155.85,38.29,3327.23039,,,,,,,,,,,
155.85,38.54,3718.744134,,,,,,,,,,,
156.1,34.79,19949.6565,,,,,,,,,,,
156.1,35.04,21004.10659,,,,,,,,,,,
156.1,35.29,20984.90975,,,,,,,,,,,
156.1,35.54,20673.5583,,,,,,,,,,,
156.1,35.79,20383.0483,,,,,,,,,,,
156.1,36.04,15148.05669,,,,,,,,,,,
156.1,36.29,9488.301928,,,,,,,,,,,
156.1,36.54,8469.454258,,,,,,,,,,,
156.1,36.79,2905.555448,,,,,,,,,,,
156.1,37.04,2579.49599,,,,,,,,,,,
156.1,37.29,2026.150074,,,,,,,,,,,
156.1,37.54,1972.697646,,,,,,,,,,,
156.1,37.79,1313.139246,,,,,,,,,,,
156.1,38.04,4203.875429,,,,,,,,,,,
156.1,38.79,4622.753941,,,,,,,,,,,
156.1,39.04,3310.399694,,,,,,,,,,,
156.1,39.29,3849.77041,,,,,,,,,,,
156.1,39.54,4937.760335,,,,,,,,,,,
156.1,39.79,1864.088756,,,,,,,,,,,
156.1,40.04,1304.419657,,,,,,,,,,,
156.1,40.29,2257.62665,,,,,,,,,,,
156.1,40.54,1678.947221,,,,,,,,,,,
156.1,40.79,1636.322378,,,,,,,,,,,
156.1,41.04,1401.673559,,,,,,,,,,,
156.1,41.29,1502.060643,,,,,,,,,,,
156.1,41.54,1306.93776,,,,,,,,,,,
156.1,41.79,1559.224107,,,,,,,,,,,
156.1,42.04,1851.776632,,,,,,,,,,,
156.1,42.29,1991.261127,,,,,,,,,,,
156.1,42.54,715.0757248,,,,,,,,,,,
156.1,42.79,662.6459127,,,,,,,,,,,
156.1,43.04,728.9321532,,,,,,,,,,,
156.35,34.79,18178.34837,,,,,,,,,,,
156.35,35.54,13184.43713,,,,,,,,,,,
156.35,35.79,15267.35918,,,,,,,,,,,
156.35,38.04,3714.204654,,,,,,,,,,,
156.35,38.29,2552.448231,,,,,,,,,,,
156.35,43.04,829.412139,,,,,,,,,,,
156.35,43.29,1312.060669,,,,,,,,,,,
156.6,34.79,14222.88634,,,,,,,,,,,
156.6,35.54,17214.50133,,,,,,,,,,,
156.6,38.29,2627.186089,,,,,,,,,,,
156.6,43.29,1165.723222,,,,,,,,,,,
156.85,38.29,3376.68099,,,,,,,,,,,
156.85,38.54,2885.152244,,,,,,,,,,,
156.85,43.29,1392.715251,,,,,,,,,,,
156.85,43.54,1137.053427,,,,,,,,,,,
157.1,35.79,5108.465586,,,,,,,,,,,
157.1,36.04,7516.336351,,,,,,,,,,,
157.1,38.54,2438.033772,,,,,,,,,,,
157.1,43.54,1400.390889,,,,,,,,,,,
157.35,35.54,4240.822852,,,,,,,,,,,
157.35,35.79,3952.791505,,,,,,,,,,,
157.35,36.04,3840.412387,,,,,,,,,,,
157.35,38.54,4183.003642,,,,,,,,,,,
157.35,38.79,4539.238333,,,,,,,,,,,
157.35,43.54,837.049639,,,,,,,,,,,
157.35,43.79,1275.306084,,,,,,,,,,,
157.6,35.54,2016.593544,,,,,,,,,,,
157.6,36.04,1963.502943,,,,,,,,,,,
157.6,38.79,6600.349937,,,,,,,,,,,
157.6,43.79,410.4383346,,,,,,,,,,,
157.85,35.29,2472.879531,,,,,,,,,,,
157.85,35.54,2001.654619,,,,,,,,,,,
157.85,36.04,2169.669479,,,,,,,,,,,
157.85,38.79,6250.390888,,,,,,,,,,,
157.85,39.04,5889.853746,,,,,,,,,,,
157.85,43.79,482.290505,,,,,,,,,,,
157.85,44.04,281.9317073,,,,,,,,,,,
158.1,35.04,2098.283788,,,,,,,,,,,
158.1,35.29,2529.406397,,,,,,,,,,,
158.1,35.54,2495.039953,,,,,,,,,,,
158.1,35.79,2110.675114,,,,,,,,,,,
158.1,36.04,2284.021863,,,,,,,,,,,
158.1,36.29,2598.918624,,,,,,,,,,,
158.1,36.54,2304.910302,,,,,,,,,,,
158.1,36.79,1785.085785,,,,,,,,,,,
158.1,37.04,2399.551547,,,,,,,,,,,
158.1,37.29,2248.572408,,,,,,,,,,,
158.1,37.54,3186.410358,,,,,,,,,,,
158.1,37.79,8855.649082,,,,,,,,,,,
158.1,38.04,12305.52932,,,,,,,,,,,
158.1,38.29,5145.972854,,,,,,,,,,,
158.1,38.54,4022.088249,,,,,,,,,,,
158.1,38.79,4612.015666,,,,,,,,,,,
158.1,39.04,5247.625284,,,,,,,,,,,
158.1,39.29,3994.531794,,,,,,,,,,,
158.1,39.54,2062.78693,,,,,,,,,,,
158.1,39.79,1441.998105,,,,,,,,,,,
158.1,40.04,1325.120668,,,,,,,,,,,
158.1,40.29,1240.145736,,,,,,,,,,,
158.1,40.54,960.7737183,,,,,,,,,,,
158.1,40.79,1471.359263,,,,,,,,,,,
158.1,41.04,1878.870455,,,,,,,,,,,
158.1,41.29,1140.523335,,,,,,,,,,,
158.1,41.54,1011.899201,,,,,,,,,,,
158.1,41.79,1291.071816,,,,,,,,,,,
158.1,42.04,1136.591401,,,,,,,,,,,
158.1,42.29,1492.455672,,,,,,,,,,,
158.1,42.54,1175.351096,,,,,,,,,,,
158.1,43.04,764.6235595,,,,,,,,,,,
158.1,43.29,641.419861,,,,,,,,,,,
158.1,43.54,305.3928471,,,,,,,,,,,
158.1,43.79,242.323715,,,,,,,,,,,
158.1,44.04,302.9406421,,,,,,,,,,,
158.35,35.04,3820.373186,,,,,,,,,,,
158.35,36.04,2872.375772,,,,,,,,,,,
158.35,39.04,5711.286852,,,,,,,,,,,
158.35,39.29,4251.289547,,,,,,,,,,,
158.35,42.54,1025.331765,,,,,,,,,,,
158.35,42.79,1090.550302,,,,,,,,,,,
158.35,43.04,1248.756298,,,,,,,,,,,
158.35,43.79,188.2663526,,,,,,,,,,,
158.35,44.04,109.3323108,,,,,,,,,,,
158.6,36.04,3245.660624,,,,,,,,,,,
158.6,39.29,4688.197349,,,,,,,,,,,
158.85,35.79,3772.839288,,,,,,,,,,,
158.85,36.04,3496.432199,,,,,,,,,,,
158.85,39.29,2500.708913,,,,,,,,,,,
158.85,39.54,2745.276688,,,,,,,,,,,
159.1,35.54,5338.179412,,,,,,,,,,,
159.1,35.79,3689.653623,,,,,,,,,,,
159.1,39.54,2887.061616,,,,,,,,,,,
159.35,35.54,8344.294891,,,,,,,,,,,
159.35,35.79,8170.486193,,,,,,,,,,,
159.35,39.54,2149.273646,,,,,,,,,,,
159.35,39.79,2606.699996,,,,,,,,,,,
159.6,35.29,6955.668573,,,,,,,,,,,
159.6,35.54,10169.87144,,,,,,,,,,,
159.6,39.79,1727.593495,,,,,,,,,,,
159.85,35.04,6860.172274,,,,,,,,,,,
159.85,35.29,6079.123462,,,,,,,,,,,
159.85,39.79,1545.401434,,,,,,,,,,,
159.85,40.04,1581.457508,,,,,,,,,,,
160.1,35.04,9152.563329,,,,,,,,,,,
160.1,35.29,6947.612906,,,,,,,,,,,
160.1,35.54,7903.594275,,,,,,,,,,,
160.1,35.79,6713.234051,,,,,,,,,,,
160.1,36.04,7773.776545,,,,,,,,,,,
160.1,36.29,9535.378817,,,,,,,,,,,
160.1,36.54,8044.788192,,,,,,,,,,,
160.1,36.79,8123.720715,,,,,,,,,,,
160.1,37.04,8640.926218,,,,,,,,,,,
160.1,38.04,4563.488828,,,,,,,,,,,
160.1,38.29,4785.501669,,,,,,,,,,,
160.1,38.54,7456.434861,,,,,,,,,,,
160.1,38.79,8558.431809,,,,,,,,,,,
160.1,39.04,11046.119,,,,,,,,,,,
160.1,39.29,7539.670828,,,,,,,,,,,
160.1,39.54,2149.504984,,,,,,,,,,,
160.1,39.79,1559.946878,,,,,,,,,,,
160.1,40.04,1538.791796,,,,,,,,,,,
160.1,40.29,1097.046297,,,,,,,,,,,
160.1,40.54,1474.880625,,,,,,,,,,,
160.1,40.79,1985.193153,,,,,,,,,,,
160.1,41.04,1951.013361,,,,,,,,,,,
160.1,42.04,1124.95721,,,,,,,,,,,
160.1,42.29,1243.989472,,,,,,,,,,,
160.1,42.54,1062.317925,,,,,,,,,,,
160.1,42.79,811.7705365,,,,,,,,,,,
160.1,43.04,1031.111681,,,,,,,,,,,
