Depth,2022,2023,2024
10.497798,-62.80720893,-63.26249286,-69.06439399
11.501935,-64.22238567,-63.79709383,-68.67652741
12.506072,-64.98832473,-64.24711506,-67.79648012
13.51021,-65.27534476,-65.84788122,-67.55750057
14.49609,-65.65097111,-64.58398143,-67.47713752
15.500227,-66.2487258,-64.63633987,-66.62142023
16.504364,-67.04188704,-63.96183292,-67.14073013
17.490244,-67.18480489,-65.16638985,-68.4057341
18.494382,-67.11873237,-66.46348908,-69.02071593
19.498519,-66.95731364,-65.99029009,-69.42390031
20.502656,-67.04792732,-68.25691796,-69.66447877
21.506793,-67.01667415,-68.93253325,-69.60694016
22.492673,-66.73295884,-68.81710567,-69.60752458
23.496811,-66.49999733,-68.76378671,-69.70497073
24.500948,-66.63849627,-68.78178046,-69.47814585
25.505085,-66.68908795,-68.73947988,-69.11975999
26.509222,-66.98305891,-68.6908126,-68.97642663
27.495102,-67.02149544,-68.61286739,-69.02955959
28.499239,-67.10966439,-68.47394563,-68.92681076
29.503377,-67.04105486,-68.56685872,-68.94889818
30.489257,-67.12460945,-68.61741627,-68.90860449
31.493394,-67.30373557,-68.52352856,-69.04551647
32.497531,-67.50797733,-68.47254084,-68.97238162
33.501668,-67.53400917,-68.40650241,-68.93084209
34.505806,-67.59628049,-68.26290534,-68.83554919
35.491686,-67.64114743,-68.13503581,-68.66058626
36.495823,-67.6737753,-68.12606783,-68.53366179
37.49996,-67.76005763,-68.16458391,-68.51043576
38.504097,-67.87429809,-68.24443958,-68.43987515
39.508235,-68.07345494,-68.25777143,-68.45709458
40.494115,-68.29686394,-68.35517731,-68.44061417
41.498252,-68.48598845,-68.4598816,-68.41280569
42.502389,-68.62853073,-68.45356766,-68.40273003
43.506526,-68.76054681,-68.5196597,-68.37392942
44.510664,-68.94910235,-68.54404436,-68.41391235
45.496544,-69.1410956,-68.60025357,-68.43983411
46.500681,-69.29922784,-68.65981853,-68.50627926
47.504818,-69.44107225,-68.69557088,-68.58681112
48.490698,-69.56426953,-68.70182454,-68.65842745
49.494836,-69.68947688,-68.75089957,-68.68730994
50.498973,-69.85204184,-68.76456291,-68.67924195
51.50311,-69.96900643,-68.83495799,-68.73957417
52.507247,-70.05123814,-68.88874155,-68.77427243
53.493127,-70.16046738,-69.00176763,-68.8251784
54.497264,-70.25202187,-69.13498753,-68.81020716
55.501402,-70.36529013,-69.19089777,-68.79040939
56.505539,-70.45201643,-69.2981241,-68.73673585
57.509676,-70.5522301,-69.35147977,-68.75330454
58.495556,-70.67248296,-69.50700358,-68.77363129
59.499693,-70.81368332,-69.67740053,-68.84538097
60.503831,-70.95538499,-69.76138795,-68.9113095
61.489711,-71.05752967,-69.89774434,-68.95918778
62.493848,-71.16029175,-69.98954788,-69.01762482
63.497985,-71.23676231,-70.03981901,-69.09421342
64.502122,-71.35036005,-70.04567741,-69.16037762
65.50626,-71.47275364,-70.15701586,-69.30769059
66.49214,-71.61765164,-70.20973007,-69.42659937
67.496277,-71.74616801,-70.24807806,-69.54729542
68.500414,-71.86515066,-70.38622103,-69.63278285
69.504551,-71.97910648,-70.48704419,-69.72587926
70.508689,-72.07132145,-70.54470945,-69.86401284
71.494569,-72.14142623,-70.56342488,-69.99694119
72.498706,-72.18845438,-70.6420953,-70.1691379
73.502843,-72.29051716,-70.66801654,-70.36023445
74.50698,-72.42384731,-70.66938938,-70.57606138
75.511118,-72.59011985,-70.68652435,-70.75997844
76.496998,-72.7339109,-70.76278346,-70.94849859
77.501135,-72.88208621,-70.8064197,-71.09166295
78.505272,-72.98938351,-70.93052927,-71.25905545
79.491152,-73.04656569,-71.05211915,-71.39266516
80.495289,-73.11934792,-71.19256929,-71.5575329
81.499427,-73.20250366,-71.34619932,-71.73019408
82.503564,-73.28628326,-71.52488303,-71.90141306
83.507701,-73.33971475,-71.63534821,-72.05359077
84.493581,-73.4077543,-71.73441996,-72.20906178
85.497718,-73.45716115,-71.85098805,-72.36466103
86.501856,-73.49926926,-71.95319562,-72.51559249
87.505993,-73.53135803,-72.05514801,-72.62422521
88.51013,-73.54791347,-72.15641463,-72.77261614
89.49601,-73.58961343,-72.27057381,-72.86937247
90.500147,-73.5037433,-72.34144658,-72.95213073
91.504285,-73.49519275,-72.42386042,-73.07792647
92.490165,-73.34729319,-72.46849542,-73.22608242
93.494302,-73.35438579,-72.60365087,-73.32508488
94.498439,-73.30211996,-72.6906274,-73.35420522
95.502576,-73.49964545,-72.78026857,-73.53839664
96.506714,-73.42481558,-72.88989533,-73.66437912
97.492594,-73.60807704,-72.97749327,-73.74080191
98.496731,-73.66893876,-73.05911405,-73.84488423
99.500868,-73.7237471,-73.10824406,-73.96612591
100.505005,-73.73488215,-73.13470115,-74.00430991
101.509143,-73.87953171,-73.19212491,-74.06475593
102.495023,-73.8887389,-73.20422073,-74.04485713
103.49916,-73.92636429,-73.23113582,-74.23540265
104.503297,-73.95034864,-73.25192117,-74.32530436
105.489177,-73.94986801,-73.2976188,-74.43516029
106.493314,-74.00527326,-73.27258414,-74.48598506
107.497452,-74.0635513,-73.2985229,-74.53103628
108.501589,-74.09666113,-73.34337647,-74.6099819
109.505726,-74.10790334,-73.33574576,-74.65425255
110.491606,-74.11784663,-73.3538584,-74.68409351
111.495743,-74.12197172,-73.32829726,-74.70010566
112.499881,-74.12546103,-73.31582148,-74.75397229
113.504018,-74.11651748,-73.2781313,-74.70580742
114.508155,-74.12877482,-73.26675043,-74.74257087
115.494035,-74.1209004,-73.20109828,-74.77952787
116.498172,-74.09895629,-73.06178958,-74.82355239
117.50231,-74.08676854,-73.21380089,-74.84250821
118.506447,-74.07989543,-73.20328466,-74.86480127
119.510584,-74.04545189,-73.15968484,-74.84525656
120.496464,-74.02968614,-73.1131101,-74.85383299
121.500601,-74.00599107,-73.13078848,-74.83350921
122.504739,-73.99818277,-73.16697063,-74.85688475
123.490619,-73.99019248,-73.17258004,-74.88548792
124.494756,-73.96497958,-73.1341356,-74.86167853
125.498893,-73.95434878,-73.14097302,-74.83792681
126.50303,-73.95793359,-73.1331653,-74.87664649
127.507168,-73.94736031,-73.08038624,-74.84883152
128.493048,-73.94469082,-73.06041539,-74.85257852
129.497185,-73.91801918,-73.05243534,-74.85458341
130.501322,-73.8849099,-73.06046211,-74.80318983
131.505459,-73.89854397,-73.08861136,-74.87203856
132.509597,-73.89330083,-73.11686594,-74.93929205
133.495477,-73.8835113,-73.17271219,-74.95064073
134.499614,-73.85233466,-73.20257356,-74.96048555
135.503751,-73.85482825,-73.2385443,-74.94567684
136.489631,-73.8533701,-73.24172639,-74.97048693
137.493768,-73.85609375,-73.34647673,-75.02700475
138.497906,-73.87702306,-73.39332525,-75.04994023
139.502043,-73.90311255,-73.43600582,-75.06402453
140.50618,-73.91872167,-73.46928475,-75.06003724
141.49206,-73.9420773,-73.50413809,-75.07710213
142.496197,-73.91703096,-73.50095949,-75.08934982
143.500335,-73.85721103,-73.53720046,-75.04291101
144.504472,-73.91629437,-73.55819823,-75.04738179
145.508609,-73.83401067,-73.60887898,-75.09002548
146.494489,-73.45153155,-73.59806941,-75.10756507
147.498626,-73.40652811,-73.65980037,-75.14765208
148.502764,-72.2756642,-73.65680636,-75.10618234
149.506901,-73.34288997,-73.65315346,-75.10006904
150.511038,-72.9807765,-73.75170343,-75.12880749
151.496918,-72.77333959,-73.8592431,-75.13814056
152.501055,-73.07086042,-73.95807625,-75.11181442
153.505193,-73.23922808,-74.05640499,-75.11651645
154.491073,-72.8333064,-74.12552596,-75.12470973
155.49521,-72.41320924,-74.25659704,-75.14699386
156.499347,-72.82705039,-74.34186046,-75.13351548
157.503484,-72.96070179,-74.40984836,-75.16312104
158.507622,-73.56806689,-74.47238976,-75.19367299
159.493502,-73.31646709,-74.54572648,-75.18081937
160.497639,-73.42278736,-74.61200285,-75.23676775
161.501776,-73.92814575,-74.66860132,-75.26077044
162.505913,-73.9536472,-74.75108677,-75.27166509
163.510051,-74.0192315,-74.85794617,-75.27561103
164.495931,-74.03250416,-74.84159541,-75.29326411
165.500068,-74.05325147,-74.91608723,-75.303798
166.504205,-74.06800066,-75.00626298,-75.30651832
167.490085,-74.0953939,-75.07378121,-75.32229102
168.494222,-74.10776194,-75.14110082,-75.31178117
169.49836,-74.09775374,-75.14794222,-75.31566839
